form	lemma	POS	morph
༄༅། །		PUNCT
སྤ་	སྤ་	NOUN
བྱང་	བྱང་	NOUN
སྨོན་ཚིག་	སྨོན་ཚིག་	OTHER
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭ་		NON_WORD
སྟི་	སྟི་	NO_POS
།		PUNCT
རྒྱལ་	རྒྱལ་	VERB
གསུངས་	གསུངས་	VERB
བཀའ་	བཀའ་	NOUN
དང་	དང་	NO_POS
དགོངས་འགྲེལ་	དགོངས་འགྲེལ་	NOUN
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
ལ་	ལ་	PART
། །		PUNCT
འཇལ་བྱེད་	འཇལ་བྱེད་	NO_POS
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
ཚད་མ་	ཚད་མ་	NOUN
ས་	གིས་	PART
གཞལ་བ་	གཞལ་བ་	VERB
ན་	ལ་	PART
། །		PUNCT
སྟོན་	སྟོན་	VERB
དང་	དང་	NO_POS
བསྟན་པ་	བསྟན་པ་	VERB
ཡང་དག་	ཡང་དག་	ADJ
ཉིད་	ཉིད་	DET
དུ་	ལ་	PART
གྲུབ་	གྲུབ་	VERB
"།
།"		PUNCT
བསླུ་མེད་	བསླུ་མེད་	NO_POS
ངེས་ཤེས་	ངེས་ཤེས་	NOUN
རྙེད་	རྙེད་	VERB
བྱེད་	བྱེད་	VERB
འདི་ཁོ་ན་	འདི་ཁོ་ན་	NO_POS
།		PUNCT
		
།		PUNCT
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
དབྱངས་	དབྱངས་	NOUN
ཀྱི་	གི་	PART
རྗེས་བཟུང་	རྗེས་བཟུང་	NO_POS
ཕྱོགས་གླང་	ཕྱོགས་གླང་	PROPN
ལ་	ལ་	PART
། །		PUNCT
མཁྱེན་	མཁྱེན་	VERB
གཏེར་	གཏེར་	NOUN
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
གསུང་	གསུང་	VERB
གི་	གི་	PART
རྔ་སྒྲ་	རྔ་སྒྲ་	OTHER
ས་	གིས་	PART
བསྐུལ་	བསྐུལ་	VERB
། །		PUNCT
ཀུན་	ཀུན་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
བཏུས་པ་	བཏུས་པ་	VERB
འི་	གི་	PART
གཞུང་བཟང་	གཞུང་བཟང་	NO_POS
འདི་	འདི་	DET
བྱིན་པ་	བྱིན་པ་	VERB
ས་	གིས་	PART
"།
།"		PUNCT
མཁའ་	མཁའ་	VERB
རྣམས་	རྣམས་	DET
མིག་	མིག་	NOUN
བཟང་	བཟང་	VERB
རྡུལ་	རྡུལ་	NOUN
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
རྙེད་	རྙེད་	VERB
།		PUNCT
		
།		PUNCT
འདི་	འདི་	DET
འགྲེལ་	འགྲེལ་	NOUN
བྱེད་	བྱེད་	VERB
ལ་	ལ་	PART
མི་	མི་	PART
ཕམ་	ཕམ་	NO_POS
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
ནི་	ནི་	NO_POS
། །		PUNCT
མངོན་སུམ་	མངོན་སུམ་	NOUN
བྱོན་པ་	བྱོན་པ་	VERB
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཡི་	གིས་	PART
། །		PUNCT
གསུངས་	གསུངས་	VERB
མཆན་	མཆན་	NOUN
དཔལ་ཡུལ་	དཔལ་ཡུལ་	OTHER
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
སྐྱེས་ཆེན་	སྐྱེས་ཆེན་	OTHER
མཆོག་	མཆོག་	ADJ
།		PUNCT
ཀརྨ་	ཀརྨ་	NO_POS
འགྱུར་མེད་	འགྱུར་མེད་	NOUN
ཐུགས་བསྐྱེད་	ཐུགས་བསྐྱེད་	OTHER
དག་པ་	དག་པ་	VERB
ས་	གིས་	PART
