form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
རླུང་རྟ་	རླུང་རྟ་	OTHER
རྒྱུན་	རྒྱུན་	NOUN
འདོན་	འདོན་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྂ་		NON_WORD
།		PUNCT
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
ལྷ་	ལྷ་	NOUN
དང་	དང་	NO_POS
དྲང་སྲོང་	དྲང་སྲོང་	NOUN
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
རིགས་གསུམ་	རིགས་གསུམ་	OTHER
མགོན་	མགོན་	NOUN
དང་	དང་	NO_POS
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
།		PUNCT
		
།		PUNCT
པདྨ་	པདྨ་	NOUN
ཐོད་ཕྲེང་	ཐོད་ཕྲེང་	NO_POS
རྒྱ་བོད་	རྒྱ་བོད་	PROPN
རིག་པ་	རིག་པ་	VERB
འཛིན་	འཛིན་	VERB
།		PUNCT
		
།		PUNCT
དཔལ་མགོན་	དཔལ་མགོན་	OTHER
ཚོགས་བདག་	ཚོགས་བདག་	PROPN
དགྲ་	དགྲ་	NOUN
བླ་	བླ་	NOUN
ལྷ་དམག་	ལྷ་དམག་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
འགོ་བ་	འགོ་བ་	NO_POS
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
མགོན་	མགོན་	NOUN
གེ་སར་	གེ་སར་	PROPN
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
ཆེ་	ཆེ་	VERB
།		PUNCT
		
།		PUNCT
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
སྲིད་པ་	སྲིད་པ་	VERB
རྒྱུད་	རྒྱུད་	NOUN
ཀྱི་	གི་	PART
ལྷ་	ལྷ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
དངོ་	དངོ་	NOUN
འབྱོར་	འབྱོར་	VERB
ཡིད་	ཡིད་	NOUN
སྤྲུལ་	སྤྲུལ་	VERB
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
མཆོད་སྤྲིན་	མཆོད་སྤྲིན་	OTHER
འབུལ་	འབུལ་	NO_POS
།		PUNCT
		
།		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	གོ་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
།		PUNCT
		
།		PUNCT
བྱད་ཕུར་	བྱད་ཕུར་	NO_POS
གཏད་	གཏད་	VERB
མནན་	མནན་	VERB
གདོན་བགེགས་	གདོན་བགེགས་	NO_POS
བར་ཆད་	བར་ཆད་	NOUN
ཀྱིས་	གིས་	PART
།		PUNCT
		
།		PUNCT
རླུང་རྟ་	རླུང་རྟ་	OTHER
རྒུད་	རྒུད་	VERB
ཅིང་	ཅིང་	PART
ཉམས་པ་	ཉམས་པ་	VERB
འི་	གི་	PART
རྐྱེན་	རྐྱེན་	NOUN
ཀུན་	ཀུན་	DET
ཞི་	ཞི་	VERB
།		PUNCT
		
།		PUNCT
འཐབ་	འཐབ་	VERB
འཁོན་	འཁོན་	VERB
མི་ཁ་	མི་ཁ་	NOUN
དགྲ་	དགྲ་	NOUN
གྱོད་	གྱོད་	NO_POS
ཕུང་སྲི་	ཕུང་སྲི་	NO_POS
སོགས་	སོགས་	DET
།		PUNCT
		
།		PUNCT
མི་	མི་	PART
མཐུན་	མཐུན་	VERB
བར་ཆད་	བར་ཆད་	NOUN
མ་	མ་	PART
ལུས་	ལུས་	NOUN
ཞི་བ་	ཞི་བ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
།		PUNCT
		
།		PUNCT
རྫུ་འཕྲུལ་	རྫུ་འཕྲུལ་	NOUN
རྐང་པ་	རྐང་པ་	NOUN
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
ཡི་	གི་	PART
།		PUNCT
		
།		PUNCT
བསོད་ནམས་	བསོད་ནམས་	NOUN
རླུང་རྟ་	རླུང་རྟ་	OTHER
འི་	གི་	PART
སྟོབས་ཤུགས་	སྟོབས་ཤུགས་	NO_POS
རབ་	རབ་	ADV
རྒྱ་	རྒྱ་	VERB
ན་	ནས་	PART
།		PUNCT
		
།		PUNCT
ཆོ་	ཆོ་	NOUN
དང་	དང་	NO_POS
སྲིད་	སྲིད་	NOUN
དང་	དང་	NO_POS
མཆོག་	མཆོག་	ADJ
དང་	དང་	NO_POS
ཐུན་མོང་	ཐུན་མོང་	ADJ
གི་	གི་	PART
		
།		PUNCT
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
མ་	མ་	PART
ལུས་	ལུས་	NOUN
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
།		PUNCT
		
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཝཱ་	ཝཱ་	NO_POS
གི་	གི་	PART
ཤྭ་	ཤྭ་	NO_POS
རི་	རི་	NOUN
མུྃ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
མ་ཎི་	མ་ཎི་	OTHER
པདྨེ་		NON_WORD
ཧཱུྂ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
བཛྲ་	བཛྲ་	NO_POS
པཱ་	པཱ་	NO_POS
ཎི་		NON_WORD
ཧཱུྂ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྂ་		NON_WORD
བཛྲ་	བཛྲ་	NO_POS
གུ་རུ་	གུ་རུ་	PROPN
པདྨ་	པདྨ་	NOUN
སིདྡྷི་		NON_WORD
ཧཱུྂ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཧོ་	ཧོ་	NO_POS
།		PUNCT
		
ཧྐྵྨླྭྲྱཾ་		NON_WORD
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སརྦ་	སརྦ་	NO_POS
གྲ་	གྲ་	NOUN
ཧ་	ཧ་	NOUN
ནཱཀྵ་		NON_WORD
ཏྲ་		NON_WORD
དྷྱ་		NON_WORD
མི་	མི་	PART
ཀ་ར་	ཀ་ར་	OTHER
ཎི་		NON_WORD
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཧེ་	ཧེ་	INTJ
ཧེ་	ཧེ་	INTJ
ཏིཥྛ་		NON_WORD
ཏིཥྛ་		NON_WORD
