form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
ཚེ་ཐར་	ཚེ་ཐར་	OTHER
གཏོང་བ་	གཏོང་བ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ཚེ་རིང་	ཚེ་རིང་	NOUN
འདོད་དགུ་	འདོད་དགུ་	OTHER
འི་	གི་	PART
དཔལ་	དཔལ་	OTHER
སྟེར་	སྟེར་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
དེ་	དེ་	DET
འི་	གི་	PART
སྤྱི་གཙུག་	སྤྱི་གཙུག་	NOUN
ཏུ་	ལ་	PART
མགོན་པོ་	མགོན་པོ་	NOUN
ཚེ་	ཚེ་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
བསྒོམས་	བསྒོམས་	VERB
ལ་	ལ་	PART
།		PUNCT
བདག་	བདག་	PRON
དང་སེམས་	དང་སེམས་	NO_POS
ཅན་	ཅན་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
དུས་	དུས་	NOUN
འདི་	འདི་	DET
ན་	ནས་	PART
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཚེ་	ཚེ་	NOUN
དང་	དང་	NO_POS
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དཔག་	དཔག་	VERB
ཏུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ལ་	ལ་	PART
སྐྱབས་	སྐྱབས་	NOUN
སུ་	ལ་	PART
མཆིའོ་		NON_WORD
"།
།"		PUNCT
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
འཆི་བ་	འཆི་བ་	VERB
འི་	གི་	PART
འཇིགས་པ་	འཇིགས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐ་	ཐ་	VERB
ཏེ་	སྟེ་	PART
འཆི་མེད་	འཆི་མེད་	NOUN
རྟག་པ་	རྟག་པ་	VERB
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
གོ་འཕང་	གོ་འཕང་	NOUN
འཐོབ་པ་	འཐོབ་པ་	VERB
འི་	གི་	PART
ཆེད་	ཆེད་	NOUN
དུ་	ལ་	PART
ཚེ་ཐར་	ཚེ་ཐར་	OTHER
གཏོང་བ་	གཏོང་བ་	VERB
འི་	གི་	PART
དགེ་བ་	དགེ་བ་	VERB
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
"།
།"		PUNCT
སྙམ་	སྙམ་	VERB
དུ་	ལ་	PART
སེམས་བསྐྱེད་	སེམས་བསྐྱེད་	NOUN
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
		
ཚད་	ཚད་	NOUN
མེད་	མེད་	VERB
བཞི་	བཞི་	NUM
བསྒོམས་	བསྒོམས་	VERB
ན་	ནས་	PART
།		PUNCT
		
ཚེ་	ཚེ་	NOUN
གཟུངས་	གཟུངས་	NOUN
ཚ་	ཚ་	VERB
གསུམ་	གསུམ་	NUM
བརྗོད་	བརྗོད་	VERB
ལ་	ལ་	PART
ན་	ནས་	PART
འཐོར་བ་	འཐོར་བ་	VERB
ས་	གིས་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
དེ་	དེ་	DET
འི་	གི་	PART
རིགས་ཅན་	རིགས་ཅན་	ADJ
འཆི་བ་	འཆི་བ་	VERB
ས་	གིས་	PART
འཇིགས་པ་	འཇིགས་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
འཆི་བདག་	འཆི་བདག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རྒྱལ་	རྒྱལ་	VERB
ཏེ་	སྟེ་	PART
སྐྱེ་བ་	སྐྱེ་བ་	VERB
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
ཚེ་	ཚེ་	NOUN
ཡི་	གི་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ཐོབ་པ་	ཐོབ་པ་	VERB
ར་	ལ་	PART
བསམ་	བསམ་	NOUN
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ན་མོ་	ན་མོ་	X
བྷ་	བྷ་	NO_POS
ག་	ག་	PRON
ཝ་	ཝ་	OTHER
ཏེ་	སྟེ་	PART
།		PUNCT
		
ཨ་པ་	ཨ་པ་	OTHER
རི་	རི་	NOUN
མི་	མི་	PART
ཏ་	ཏ་	OTHER
ཨཱ་	ཨཱ་	NO_POS
ཡུརྫྙཱ་		NON_WORD
ན་	ལ་	PART
སུ་	ལ་	PART
བི་	བི་	NO_POS
ནི་	ནི་	NO_POS
ཤྩི་		NON_WORD
ཏ་	ཏ་	OTHER
ཏེ་	སྟེ་	PART
ཛོ་	ཛོ་	NO_POS
རྭ་	རྭ་	NOUN
ཛཱ་	ཛཱ་	NO_POS
ཡ་	ཡ་	NOUN
།		PUNCT
		
ཏ་	ཏ་	OTHER
ཐཱ་		NON_WORD
ག་	ག་	PRON
ཏཱ་	ཏཱ་	NO_POS
ཡ་	ཡ་	NOUN
།		PUNCT
		
ཨརྷ་		NON_WORD
ཏེ་	སྟེ་	PART
སམྱཀྶཾ་		NON_WORD
བུདྡྷཱ་		NON_WORD
ཡ་	ཡ་	NOUN
།		PUNCT
ཏདྱ་		NON_WORD
ཐཱ་		NON_WORD
།		PUNCT
		
ཨོཾ་	ཨོཾ་	X
པུཎྱེ་		NON_WORD
པུཎྱེ་		NON_WORD
མ་	མ་	PART
ཧཱ་		NON_WORD
པུཎྱེ་		NON_WORD
།		PUNCT
		
ཨ་པ་	ཨ་པ་	OTHER
རི་	རི་	NOUN
མི་	མི་	PART
ཏ་	ཏ་	OTHER
པུཎྱེ་		NON_WORD
ཨ་པ་	ཨ་པ་	OTHER
རི་	རི་	NOUN
མི་	མི་	PART
ཏ་	ཏ་	OTHER
པུཎྱ་		NON_WORD
ཛྙཱ་ན་	ཛྙཱ་ན་	PROPN
སཾ་		NON_WORD
བྷཱ་		NON_WORD
རོ་པ་	རོ་པ་	NOUN
ཙི་	ཙི་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སརྦ་	སརྦ་	NO_POS
སཾ་		NON_WORD
སྐཱ་		NON_WORD
ར་པ་	ར་པ་	ADP
རི་	རི་	NOUN
ཤུདྡྷ་		NON_WORD
དྷརྨ་		NON_WORD
ཏེ་	སྟེ་	PART
ག་	ག་	PRON
ག་	ག་	PRON
ན་	ལ་	PART
ས་	ས་	ADP
མུཏྒ་		NON_WORD
ཏེ་	སྟེ་	PART
སྭ་		NON_WORD
བྷཱ་		NON_WORD
ཝ་	ཝ་	OTHER
བི་	བི་	NO_POS
ཤུདྡྷེ་		NON_WORD
